league;season;team;game;date;time;round;day;venue;result;GF;GA;opponent;xG;xGA;Poss;Attendance;Captain;Formation;Opp Formation;Referee;match_report;Notes
;2122;Arminia;2021-08-07 SpVgg Bayreuth-Arminia;2021-08-07 00:00:00;15:30:00;Round of 64;Sat;Away;W;6;3;SpVgg Bayreuth;;;54;5000;Manuel Prietl;4-4-2◆;4-2-3-1;Robert Hartmann;/en/matches/45601f5d/SpVgg-Bayreuth-Arminia-August-7-2021-DFB-Pokal;
;;;2021-08-14 Arminia-Freiburg;2021-08-14 00:00:00;15:30:00;Matchweek 1;Sat;Home;D;0;0;Freiburg;0,4;1,6;45;13750;Manuel Prietl;4-1-2-1-2◆;3-4-3;Sven Jablonski;/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga;
;;;2021-08-21 Greuther Fürth-Arminia;2021-08-21 00:00:00;15:30:00;Matchweek 2;Sat;Away;D;1;1;Greuther Fürth;0,8;2,5;35;5890;Manuel Prietl;4-1-2-1-2◆;4-1-2-1-2;Daniel Schlager;/en/matches/976aabba/Greuther-Furth-Arminia-August-21-2021-Bundesliga;
;;;2021-08-28 Arminia-Eint Frankfurt;2021-08-28 00:00:00;15:30:00;Matchweek 3;Sat;Home;D;1;1;Eint Frankfurt;0,6;1,5;35;13750;Manuel Prietl;4-4-2;4-2-3-1;Bastian Dankert;/en/matches/af8e306b/Arminia-Eintracht-Frankfurt-August-28-2021-Bundesliga;
;;;2021-09-12 Gladbach-Arminia;2021-09-12 00:00:00;19:30:00;Matchweek 4;Sun;Away;L;1;3;Gladbach;1,8;1,7;36;24500;Manuel Prietl;4-3-3;3-4-3;Sascha Stegemann;/en/matches/7fb5657a/Monchengladbach-Arminia-September-12-2021-Bundesliga;
;;;2021-09-18 Arminia-Hoffenheim;2021-09-18 00:00:00;15:30:00;Matchweek 5;Sat;Home;D;0;0;Hoffenheim;1,1;1,1;42;13750;Manuel Prietl;4-4-2;4-2-3-1;Patrick Ittrich;/en/matches/4f2605e3/Arminia-Hoffenheim-September-18-2021-Bundesliga;
;;;2021-09-25 Union Berlin-Arminia;2021-09-25 00:00:00;15:30:00;Matchweek 6;Sat;Away;L;0;1;Union Berlin;0,5;1,2;46;11000;Manuel Prietl;4-2-2-2;3-5-2;Marco Fritz;/en/matches/7455e226/Union-Berlin-Arminia-September-25-2021-Bundesliga;
;;;2021-10-03 Arminia-Leverkusen;2021-10-03 00:00:00;19:30:00;Matchweek 7;Sun;Home;L;0;4;Leverkusen;0,4;3,1;34;16250;Manuel Prietl;4-4-2;4-2-3-1;Felix Zwayer;/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga;
;;;2021-10-17 Augsburg-Arminia;2021-10-17 00:00:00;17:30:00;Matchweek 8;Sun;Away;D;1;1;Augsburg;0,3;0,6;50;17500;Manuel Prietl;4-3-1-2;3-5-2;Robert Schröder;/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga;
;;;2021-10-23 Arminia-Dortmund;2021-10-23 00:00:00;15:30:00;Matchweek 9;Sat;Home;L;1;3;Dortmund;1,4;2,4;31;25000;Manuel Prietl;3-4-1-2;3-4-3;Benjamin Brand;/en/matches/d024165b/Arminia-Dortmund-October-23-2021-Bundesliga;
;;;2021-10-26 Mainz 05-Arminia;2021-10-26 00:00:00;20:45:00;Round of 32;Tue;Away;L;2;3;Mainz 05;;;41;10000;Manuel Prietl;3-4-1-2;3-5-2;Sascha Stegemann;/en/matches/02231ecc/Mainz-05-Arminia-October-26-2021-DFB-Pokal;Required Extra Time
;;;2021-10-30 Arminia-Mainz 05;2021-10-30 00:00:00;15:30:00;Matchweek 10;Sat;Home;L;1;2;Mainz 05;0,6;2,5;49;19477;Manuel Prietl;3-1-4-2;3-1-4-2;Bastian Dankert;/en/matches/f1714ccc/Arminia-Mainz-05-October-30-2021-Bundesliga;
;;;2021-11-06 Stuttgart-Arminia;2021-11-06 00:00:00;15:30:00;Matchweek 11;Sat;Away;W;1;0;Stuttgart;1,7;0,9;34;33550;Manuel Prietl;4-2-3-1;3-4-1-2;Christian Dingert;/en/matches/d0f253c9/Stuttgart-Arminia-November-6-2021-Bundesliga;
;;;2021-11-20 Arminia-Wolfsburg;2021-11-20 00:00:00;15:30:00;Matchweek 12;Sat;Home;D;2;2;Wolfsburg;1,3;1,9;37;19801;Manuel Prietl;4-2-3-1;3-4-3;Martin Petersen;/en/matches/c5c97f25/Arminia-Wolfsburg-November-20-2021-Bundesliga;
;;;2021-11-27 Bayern Munich-Arminia;2021-11-27 00:00:00;18:30:00;Matchweek 13;Sat;Away;L;0;1;Bayern Munich;0,3;2,2;27;12000;Manuel Prietl;4-3-3;4-2-3-1;Marco Fritz;/en/matches/0837adf5/Bayern-Munich-Arminia-November-27-2021-Bundesliga;
;;;2021-12-04 Arminia-Köln;2021-12-04 00:00:00;15:30:00;Matchweek 14;Sat;Home;D;1;1;Köln;1,1;1,1;43;8231;Manuel Prietl;4-2-3-1;4-2-3-1;Felix Brych;/en/matches/44a46d7c/Arminia-Koln-December-4-2021-Bundesliga;
;;;2021-12-11 Hertha BSC-Arminia;2021-12-11 00:00:00;15:30:00;Matchweek 15;Sat;Away;L;0;2;Hertha BSC;0,5;2;40;5000;Manuel Prietl;4-2-3-1;4-2-2-2;Tobias Welz;/en/matches/365f5f06/Hertha-BSC-Arminia-December-11-2021-Bundesliga;
;;;2021-12-14 Arminia-Bochum;2021-12-14 00:00:00;20:30:00;Matchweek 16;Tue;Home;W;2;0;Bochum;0,7;0,9;51;13750;Manuel Prietl;4-1-2-1-2◆;4-1-4-1;Benjamin Brand;/en/matches/669776d4/Arminia-Bochum-December-14-2021-Bundesliga;
;;;2021-12-18 RB Leipzig-Arminia;2021-12-18 00:00:00;15:30:00;Matchweek 17;Sat;Away;W;2;0;RB Leipzig;0,8;1,6;23;;Cédric Brunner;4-2-3-1;3-5-2;Frank Willenborg;/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga;
;;;2022-01-08 Freiburg-Arminia;2022-01-08 00:00:00;15:30:00;Matchweek 18;Sat;Away;D;2;2;Freiburg;1;1,8;51;;Cédric Brunner;4-3-3;4-2-3-1;Harm Osmers;/en/matches/50dff1aa/Freiburg-Arminia-January-8-2022-Bundesliga;
;;;2022-01-16 Arminia-Greuther Fürth;2022-01-16 00:00:00;17:30:00;Matchweek 19;Sun;Home;D;2;2;Greuther Fürth;0,5;0,7;45;750;Cédric Brunner;4-2-3-1;4-3-1-2;Christian Dingert;/en/matches/8a633b19/Arminia-Greuther-Furth-January-16-2022-Bundesliga;
;;;2022-01-21 Eint Frankfurt-Arminia;2022-01-21 00:00:00;20:30:00;Matchweek 20;Fri;Away;W;2;0;Eint Frankfurt;1,3;1,9;32;1000;Stefan Ortega;4-3-3;3-4-3;Tobias Reichel;/en/matches/3347ee68/Eintracht-Frankfurt-Arminia-January-21-2022-Bundesliga;
;;;2022-02-05 Arminia-Gladbach;2022-02-05 00:00:00;15:30:00;Matchweek 21;Sat;Home;D;1;1;Gladbach;0,5;2;39;10000;Stefan Ortega;4-2-3-1;3-4-3;Benjamin Cortus;/en/matches/23880eb6/Arminia-Monchengladbach-February-5-2022-Bundesliga;
;;;2022-02-13 Hoffenheim-Arminia;2022-02-13 00:00:00;17:30:00;Matchweek 22;Sun;Away;L;0;2;Hoffenheim;0,9;2,8;47;10000;Stefan Ortega;4-1-4-1;3-5-2;Robert Hartmann;/en/matches/082f0997/Hoffenheim-Arminia-February-13-2022-Bundesliga;
;;;2022-02-19 Arminia-Union Berlin;2022-02-19 00:00:00;15:30:00;Matchweek 23;Sat;Home;W;1;0;Union Berlin;0,8;0,9;42;10000;Stefan Ortega;4-2-3-1;3-5-2;Daniel Schlager;/en/matches/80eaf904/Arminia-Union-Berlin-February-19-2022-Bundesliga;
;;;2022-02-26 Leverkusen-Arminia;2022-02-26 00:00:00;15:30:00;Matchweek 24;Sat;Away;L;0;3;Leverkusen;0,4;2,1;29;10000;Stefan Ortega;4-2-3-1;4-2-3-1;Martin Petersen;/en/matches/1e99f87f/Bayer-Leverkusen-Arminia-February-26-2022-Bundesliga;
;;;2022-03-04 Arminia-Augsburg;2022-03-04 00:00:00;20:30:00;Matchweek 25;Fri;Home;L;0;1;Augsburg;0,2;0,5;50;19460;Fabian Klos;4-2-3-1;3-4-3;Felix Brych;/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga;
;;;2022-03-13 Dortmund-Arminia;2022-03-13 00:00:00;17:30:00;Matchweek 26;Sun;Away;L;0;1;Dortmund;0,7;2;41;33000;Stefan Ortega;4-2-3-1;4-2-3-1;Bastian Dankert;/en/matches/c92636c1/Dortmund-Arminia-March-13-2022-Bundesliga;
;;;2022-03-19 Mainz 05-Arminia;2022-03-19 00:00:00;15:30:00;Matchweek 27;Sat;Away;L;0;4;Mainz 05;0,2;4,3;44;25000;Stefan Ortega;4-3-3;3-4-3;Felix Zwayer;/en/matches/e3e5a297/Mainz-05-Arminia-March-19-2022-Bundesliga;
;;;2022-04-02 Arminia-Stuttgart;2022-04-02 00:00:00;15:30:00;Matchweek 28;Sat;Home;D;1;1;Stuttgart;1;2,2;53;26011;Stefan Ortega;4-2-3-1;4-3-3;Patrick Ittrich;/en/matches/3cf9ef0b/Arminia-Stuttgart-April-2-2022-Bundesliga;
;;;2022-04-09 Wolfsburg-Arminia;2022-04-09 00:00:00;15:30:00;Matchweek 29;Sat;Away;L;0;4;Wolfsburg;0,4;2;47;22512;Manuel Prietl;4-2-3-1;3-4-3;Benjamin Brand;/en/matches/fa852ccf/Wolfsburg-Arminia-April-9-2022-Bundesliga;
;;;2022-04-17 Arminia-Bayern Munich;2022-04-17 00:00:00;15:30:00;Matchweek 30;Sun;Home;L;0;3;Bayern Munich;0,4;2,7;25;26419;Manuel Prietl;4-2-3-1;3-4-3;Matthias Jöllenbeck;/en/matches/af8c9180/Arminia-Bayern-Munich-April-17-2022-Bundesliga;
;;;2022-04-23 Köln-Arminia;2022-04-23 00:00:00;15:30:00;Matchweek 31;Sat;Away;L;1;3;Köln;0,9;2;45;50000;Manuel Prietl;4-4-2;4-2-3-1;Tobias Stieler;/en/matches/63a9230b/Koln-Arminia-April-23-2022-Bundesliga;
;;;2022-04-30 Arminia-Hertha BSC;2022-04-30 00:00:00;15:30:00;Matchweek 32;Sat;Home;D;1;1;Hertha BSC;0,5;1,5;55;26021;Manuel Prietl;4-2-3-1;4-2-3-1;Deniz Aytekin;/en/matches/907cd34d/Arminia-Hertha-BSC-April-30-2022-Bundesliga;
;;;2022-05-06 Bochum-Arminia;2022-05-06 00:00:00;20:30:00;Matchweek 33;Fri;Away;L;1;2;Bochum;0,8;2,1;40;25000;Manuel Prietl;4-4-2;4-3-3;Robert Schröder;/en/matches/73983b19/Bochum-Arminia-May-6-2022-Bundesliga;
;;;2022-05-14 Arminia-RB Leipzig;2022-05-14 00:00:00;15:30:00;Matchweek 34;Sat;Home;D;1;1;RB Leipzig;1,6;3;42;22719;Manuel Prietl;4-3-3;3-4-3;Daniel Siebert;/en/matches/ed07da7a/Arminia-RB-Leipzig-May-14-2022-Bundesliga;
;;Augsburg;2021-08-07 Greifswalder SV 04-Augsburg;2021-08-07 00:00:00;15:30:00;Round of 64;Sat;Away;W;4;2;Greifswalder SV 04;;;65;4000;Alfreð Finnbogason;4-4-2;4-4-2;Max Burda;/en/matches/18d54c01/Greifswalder-SV-04-Augsburg-August-7-2021-DFB-Pokal;
;;;2021-08-14 Augsburg-Hoffenheim;2021-08-14 00:00:00;15:30:00;Matchweek 1;Sat;Home;L;0;4;Hoffenheim;0,6;3,8;46;9124;Jeffrey Gouweleeuw;4-2-3-1;4-2-3-1;Felix Brych;/en/matches/eee6b64c/Augsburg-Hoffenheim-August-14-2021-Bundesliga;
;;;2021-08-21 Eint Frankfurt-Augsburg;2021-08-21 00:00:00;15:30:00;Matchweek 2;Sat;Away;D;0;0;Eint Frankfurt;0,3;1,6;39;22000;Ohis Felix Uduokhai;4-2-3-1;4-2-3-1;Harm Osmers;/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga;
;;;2021-08-28 Augsburg-Leverkusen;2021-08-28 00:00:00;15:30:00;Matchweek 3;Sat;Home;L;1;4;Leverkusen;1,8;2;43;10582;Ohis Felix Uduokhai;4-2-3-1;4-2-3-1;Benjamin Brand;/en/matches/c85d1dc1/Augsburg-Bayer-Leverkusen-August-28-2021-Bundesliga;
;;;2021-09-11 Union Berlin-Augsburg;2021-09-11 00:00:00;15:30:00;Matchweek 4;Sat;Away;D;0;0;Union Berlin;1;1;40;10207;Jeffrey Gouweleeuw;5-3-2;3-5-2;Martin Petersen;/en/matches/2ebf021f/Union-Berlin-Augsburg-September-11-2021-Bundesliga;
;;;2021-09-18 Augsburg-Gladbach;2021-09-18 00:00:00;15:30:00;Matchweek 5;Sat;Home;W;1;0;Gladbach;0,3;0,6;30;12500;Jeffrey Gouweleeuw;3-5-2;4-2-3-1;Florian Badstübner;/en/matches/4131f8cf/Augsburg-Monchengladbach-September-18-2021-Bundesliga;
;;;2021-09-26 Freiburg-Augsburg;2021-09-26 00:00:00;17:30:00;Matchweek 6;Sun;Away;L;0;3;Freiburg;0,2;3,1;41;14400;Jeffrey Gouweleeuw;3-5-2;3-4-3;Daniel Schlager;/en/matches/c53a65fe/Freiburg-Augsburg-September-26-2021-Bundesliga;
;;;2021-10-02 Dortmund-Augsburg;2021-10-02 00:00:00;15:30:00;Matchweek 7;Sat;Away;L;1;2;Dortmund;0,8;3;31;41000;Jeffrey Gouweleeuw;3-4-1-2;4-2-3-1;Tobias Welz;/en/matches/71a3be9a/Dortmund-Augsburg-October-2-2021-Bundesliga;
;;;2021-10-17 Augsburg-Arminia;2021-10-17 00:00:00;17:30:00;Matchweek 8;Sun;Home;D;1;1;Arminia;0,6;0,3;50;17500;Jeffrey Gouweleeuw;3-5-2;4-3-1-2;Robert Schröder;/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga;
;;;2021-10-22 Mainz 05-Augsburg;2021-10-22 00:00:00;20:30:00;Matchweek 9;Fri;Away;L;1;4;Mainz 05;0,9;3,7;46;19400;Jeffrey Gouweleeuw;3-4-1-2;3-5-2;Robert Hartmann;/en/matches/2fb98536/Mainz-05-Augsburg-October-22-2021-Bundesliga;
;;;2021-10-27 Bochum-Augsburg;2021-10-27 00:00:00;18:30:00;Round of 32;Wed;Away;D;2 (4);2 (5);Bochum;;;40;15220;Jeffrey Gouweleeuw;4-2-3-1;4-3-3;Martin Petersen;/en/matches/ca725f3f/Bochum-Augsburg-October-27-2021-DFB-Pokal;Bochum won on penalty kicks following extra time
;;;2021-10-31 Augsburg-Stuttgart;2021-10-31 00:00:00;15:30:00;Matchweek 10;Sun;Home;W;4;1;Stuttgart;2,1;0,9;33;17500;Jeffrey Gouweleeuw;4-4-2;3-1-4-2;Patrick Ittrich;/en/matches/76cd38ec/Augsburg-Stuttgart-October-31-2021-Bundesliga;
;;;2021-11-06 Wolfsburg-Augsburg;2021-11-06 00:00:00;15:30:00;Matchweek 11;Sat;Away;L;0;1;Wolfsburg;0,7;0,5;38;16095;Jeffrey Gouweleeuw;4-4-1-1;3-4-3;Marco Fritz;/en/matches/f1b9b586/Wolfsburg-Augsburg-November-6-2021-Bundesliga;
;;;2021-11-19 Augsburg-Bayern Munich;2021-11-19 00:00:00;20:30:00;Matchweek 12;Fri;Home;W;2;1;Bayern Munich;0,4;1,2;22;26000;Jeffrey Gouweleeuw;4-4-2;4-2-3-1;Daniel Siebert;/en/matches/75a06726/Augsburg-Bayern-Munich-November-19-2021-Bundesliga;
;;;2021-11-27 Hertha BSC-Augsburg;2021-11-27 00:00:00;15:30:00;Matchweek 13;Sat;Away;D;1;1;Hertha BSC;1,2;1,7;48;14523;André Hahn;4-4-2;3-4-3;Frank Willenborg;/en/matches/2bc6c014/Hertha-BSC-Augsburg-November-27-2021-Bundesliga;
;;;2021-12-04 Augsburg-Bochum;2021-12-04 00:00:00;15:30:00;Matchweek 14;Sat;Home;L;2;3;Bochum;2,9;2,1;52;;André Hahn;4-4-2;4-3-3;Deniz Aytekin;/en/matches/67ad2f82/Augsburg-Bochum-December-4-2021-Bundesliga;
;;;2021-12-10 Köln-Augsburg;2021-12-10 00:00:00;20:30:00;Matchweek 15;Fri;Away;W;2;0;Köln;0,8;1;36;15000;Jeffrey Gouweleeuw;4-4-2;4-1-3-2;Patrick Ittrich;/en/matches/a1b384c8/Koln-Augsburg-December-10-2021-Bundesliga;
;;;2021-12-15 Augsburg-RB Leipzig;2021-12-15 00:00:00;20:30:00;Matchweek 16;Wed;Home;D;1;1;RB Leipzig;1,2;2,2;32;;André Hahn;4-4-2;3-4-1-2;Florian Badstübner;/en/matches/9f8577db/Augsburg-RB-Leipzig-December-15-2021-Bundesliga;
;;;2021-12-18 Greuther Fürth-Augsburg;2021-12-18 00:00:00;15:30:00;Matchweek 17;Sat;Away;D;0;0;Greuther Fürth;1,2;0,1;52;;Jeffrey Gouweleeuw;4-4-2;4-3-1-2;Sascha Stegemann;/en/matches/1f2c6db1/Greuther-Furth-Augsburg-December-18-2021-Bundesliga;
;;;2022-01-08 Hoffenheim-Augsburg;2022-01-08 00:00:00;15:30:00;Matchweek 18;Sat;Away;L;1;3;Hoffenheim;0,9;2,2;42;500;Jeffrey Gouweleeuw;4-2-2-2;3-1-4-2;Benjamin Cortus;/en/matches/6eec4f11/Hoffenheim-Augsburg-January-8-2022-Bundesliga;
;;;2022-01-16 Augsburg-Eint Frankfurt;2022-01-16 00:00:00;15:30:00;Matchweek 19;Sun;Home;D;1;1;Eint Frankfurt;1;2,6;49;;Jeffrey Gouweleeuw;4-4-2;3-4-3;Sven Jablonski;/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga;
;;;2022-01-22 Leverkusen-Augsburg;2022-01-22 00:00:00;15:30:00;Matchweek 20;Sat;Away;L;1;5;Leverkusen;1,5;2,8;34;750;Jeffrey Gouweleeuw;4-4-2;4-1-4-1;Daniel Schlager;/en/matches/0c94e33f/Bayer-Leverkusen-Augsburg-January-22-2022-Bundesliga;
;;;2022-02-05 Augsburg-Union Berlin;2022-02-05 00:00:00;15:30:00;Matchweek 21;Sat;Home;W;2;0;Union Berlin;1,8;1,7;47;7600;Jeffrey Gouweleeuw;4-2-2-2;3-5-2;Harm Osmers;/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga;
;;;2022-02-12 Gladbach-Augsburg;2022-02-12 00:00:00;15:30:00;Matchweek 22;Sat;Away;L;2;3;Gladbach;1,6;2,4;43;10000;Jeffrey Gouweleeuw;4-2-2-2;3-4-3;Tobias Welz;/en/matches/2053af19/Monchengladbach-Augsburg-February-12-2022-Bundesliga;
;;;2022-02-19 Augsburg-Freiburg;2022-02-19 00:00:00;15:30:00;Matchweek 23;Sat;Home;L;1;2;Freiburg;1,1;2;54;15000;Jeffrey Gouweleeuw;4-4-2;4-2-3-1;Daniel Siebert;/en/matches/dccae51a/Augsburg-Freiburg-February-19-2022-Bundesliga;
;;;2022-02-27 Augsburg-Dortmund;2022-02-27 00:00:00;17:30:00;Matchweek 24;Sun;Home;D;1;1;Dortmund;0,8;0,6;36;15330;Jeffrey Gouweleeuw;3-4-1-2;3-5-2;Deniz Aytekin;/en/matches/da6f8ee7/Augsburg-Dortmund-February-27-2022-Bundesliga;
;;;2022-03-04 Arminia-Augsburg;2022-03-04 00:00:00;20:30:00;Matchweek 25;Fri;Away;W;1;0;Arminia;0,5;0,2;50;19460;Jeffrey Gouweleeuw;3-4-3;4-2-3-1;Felix Brych;/en/matches/1dc51e51/Arminia-Augsburg-March-4-2022-Bundesliga;
;;;2022-03-19 Stuttgart-Augsburg;2022-03-19 00:00:00;15:30:00;Matchweek 27;Sat;Away;L;2;3;Stuttgart;1;2,2;36;55785;Jeffrey Gouweleeuw;3-4-3;4-3-3;Patrick Ittrich;/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga;
;;;2022-04-03 Augsburg-Wolfsburg;2022-04-03 00:00:00;15:30:00;Matchweek 28;Sun;Home;W;3;0;Wolfsburg;1,6;1,1;39;23143;Jeffrey Gouweleeuw;3-4-3;3-4-3;Sascha Stegemann;/en/matches/940fc2a6/Augsburg-Wolfsburg-April-3-2022-Bundesliga;
;;;2022-04-06 Augsburg-Mainz 05;2022-04-06 00:00:00;18:30:00;Matchweek 26;Wed;Home;W;2;1;Mainz 05;1,8;1,8;38;18122;Jeffrey Gouweleeuw;3-4-3;3-5-2;Matthias Jöllenbeck;/en/matches/d614186f/Augsburg-Mainz-05-April-6-2022-Bundesliga;
;;;2022-04-09 Bayern Munich-Augsburg;2022-04-09 00:00:00;15:30:00;Matchweek 29;Sat;Away;L;0;1;Bayern Munich;0,2;1,5;33;75000;Jeffrey Gouweleeuw;4-4-2;4-2-3-1;Patrick Ittrich;/en/matches/32edb6b6/Bayern-Munich-Augsburg-April-9-2022-Bundesliga;
;;;2022-04-16 Augsburg-Hertha BSC;2022-04-16 00:00:00;15:30:00;Matchweek 30;Sat;Home;L;0;1;Hertha BSC;1;1,1;59;28533;Jeffrey Gouweleeuw;4-4-2;4-4-2;Marco Fritz;/en/matches/ea17a6ff/Augsburg-Hertha-BSC-April-16-2022-Bundesliga;
;;;2022-04-24 Bochum-Augsburg;2022-04-24 00:00:00;15:30:00;Matchweek 31;Sun;Away;W;2;0;Bochum;1,9;1,1;41;23500;Jeffrey Gouweleeuw;3-4-3;4-3-3;Bastian Dankert;/en/matches/29085f79/Bochum-Augsburg-April-24-2022-Bundesliga;
;;;2022-04-30 Augsburg-Köln;2022-04-30 00:00:00;15:30:00;Matchweek 32;Sat;Home;L;1;4;Köln;1,7;2,5;47;29511;Jeffrey Gouweleeuw;3-4-3;4-1-3-2;Robert Schröder;/en/matches/9d63dd8a/Augsburg-Koln-April-30-2022-Bundesliga;
;;;2022-05-08 RB Leipzig-Augsburg;2022-05-08 00:00:00;19:30:00;Matchweek 33;Sun;Away;L;0;4;RB Leipzig;0,3;3,2;36;37029;Jeffrey Gouweleeuw;3-4-3;3-4-3;Bastian Dankert;/en/matches/8ac13dab/RB-Leipzig-Augsburg-May-8-2022-Bundesliga;
;;;2022-05-14 Augsburg-Greuther Fürth;2022-05-14 00:00:00;15:30:00;Matchweek 34;Sat;Home;W;2;1;Greuther Fürth;1,1;0,5;49;27907;Jeffrey Gouweleeuw;3-4-3;3-5-2;Tobias Reichel;/en/matches/e0a9b42f/Augsburg-Greuther-Furth-May-14-2022-Bundesliga;
;;Bayern Munich;2021-08-13 Gladbach-Bayern Munich;2021-08-13 00:00:00;20:30:00;Matchweek 1;Fri;Away;D;1;1;Gladbach;2,5;2,3;65;22925;Manuel Neuer;4-2-3-1;4-2-3-1;Marco Fritz;/en/matches/82c5d82c/Monchengladbach-Bayern-Munich-August-13-2021-Bundesliga;
;;;2021-08-17 Dortmund-Bayern Munich;2021-08-17 00:00:00;20:30:00;DFL-Supercup;Tue;Away;W;3;1;Dortmund;;;51;;Manuel Neuer;4-2-3-1;4-3-3;Sascha Stegemann;/en/matches/a15704aa/Der-Klassiker-Dortmund-Bayern-Munich-August-17-2021-DFL-Supercup;
;;;2021-08-22 Bayern Munich-Köln;2021-08-22 00:00:00;17:30:00;Matchweek 2;Sun;Home;W;3;2;Köln;2,6;1,1;57;20000;Manuel Neuer;4-2-3-1;4-1-3-2;Martin Petersen;/en/matches/80f89105/Bayern-Munich-Koln-August-22-2021-Bundesliga;
;;;2021-08-25 Bremer SV-Bayern Munich;2021-08-25 00:00:00;20:15:00;Round of 64;Wed;Away;W;12;0;Bremer SV;;;68;10093;Thomas Müller;4-2-3-1;4-1-4-1;Nicolas Winter;/en/matches/2ae7545b/Bremer-SV-Bayern-Munich-August-25-2021-DFB-Pokal;
;;;2021-08-28 Bayern Munich-Hertha BSC;2021-08-28 00:00:00;18:30:00;Matchweek 3;Sat;Home;W;5;0;Hertha BSC;2,8;0,4;63;25000;Manuel Neuer;4-2-3-1;4-2-3-1;Sven Jablonski;/en/matches/7b0c7704/Bayern-Munich-Hertha-BSC-August-28-2021-Bundesliga;
;;;2021-09-11 RB Leipzig-Bayern Munich;2021-09-11 00:00:00;18:30:00;Matchweek 4;Sat;Away;W;4;1;RB Leipzig;3,9;0,5;48;34000;Manuel Neuer;4-2-3-1;4-2-3-1;Deniz Aytekin;/en/matches/6bb4470e/RB-Leipzig-Bayern-Munich-September-11-2021-Bundesliga;
;;;2021-09-14 Barcelona-Bayern Munich;2021-09-14 00:00:00;21:00:00;Group stage;Tue;Away;W;3;0;Barcelona;2,7;0,2;51;39737;Manuel Neuer;4-2-3-1;3-1-4-2;Michael Oliver;/en/matches/9673a872/Barcelona-Bayern-Munich-September-14-2021-Champions-League;
;;;2021-09-18 Bayern Munich-Bochum;2021-09-18 00:00:00;15:30:00;Matchweek 5;Sat;Home;W;7;0;Bochum;5,6;0,4;69;25000;Manuel Neuer;4-2-3-1;4-2-3-1;Tobias Welz;/en/matches/bf42838a/Bayern-Munich-Bochum-September-18-2021-Bundesliga;
;;;2021-09-24 Greuther Fürth-Bayern Munich;2021-09-24 00:00:00;20:30:00;Matchweek 6;Fri;Away;W;3;1;Greuther Fürth;0,8;0,7;67;11740;Manuel Neuer;3-4-3;4-3-3;Robert Schröder;/en/matches/2def9292/Greuther-Furth-Bayern-Munich-September-24-2021-Bundesliga;
;;;2021-09-29 Bayern Munich-Dynamo Kyiv;2021-09-29 00:00:00;21:00:00;Group stage;Wed;Home;W;5;0;Dynamo Kyiv;2,7;0,3;63;25000;Manuel Neuer;4-2-3-1;4-2-3-1;Marco Guida;/en/matches/aba1e94d/Bayern-Munich-Dynamo-Kyiv-September-29-2021-Champions-League;
;;;2021-10-03 Bayern Munich-Eint Frankfurt;2021-10-03 00:00:00;17:30:00;Matchweek 7;Sun;Home;L;1;2;Eint Frankfurt;2,2;0,8;72;25000;Manuel Neuer;4-2-3-1;3-4-3;Florian Badstübner;/en/matches/d787a390/Bayern-Munich-Eintracht-Frankfurt-October-3-2021-Bundesliga;
;;;2021-10-17 Leverkusen-Bayern Munich;2021-10-17 00:00:00;15:30:00;Matchweek 8;Sun;Away;W;5;1;Leverkusen;3,2;0,7;59;29542;Manuel Neuer;4-2-3-1;4-2-3-1;Sven Jablonski;/en/matches/4fb9342d/Bayer-Leverkusen-Bayern-Munich-October-17-2021-Bundesliga;
;;;2021-10-20 Benfica-Bayern Munich;2021-10-20 00:00:00;20:00:00;Group stage;Wed;Away;W;4;0;Benfica;3;0,7;66;55201;Manuel Neuer;4-2-3-1;3-4-3;Ovidiu Hațegan;/en/matches/542956e2/Benfica-Bayern-Munich-October-20-2021-Champions-League;
;;;2021-10-23 Bayern Munich-Hoffenheim;2021-10-23 00:00:00;15:30:00;Matchweek 9;Sat;Home;W;4;0;Hoffenheim;2,8;0,7;61;60000;Manuel Neuer;4-2-3-1;3-4-3;Matthias Jöllenbeck;/en/matches/84f78a21/Bayern-Munich-Hoffenheim-October-23-2021-Bundesliga;
;;;2021-10-27 Gladbach-Bayern Munich;2021-10-27 00:00:00;20:45:00;Round of 32;Wed;Away;L;0;5;Gladbach;;;62;48500;Manuel Neuer;4-2-3-1;3-4-3;Tobias Stieler;/en/matches/d81f6ea9/Monchengladbach-Bayern-Munich-October-27-2021-DFB-Pokal;
